Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
4,Davante Adams,GNB,WR,28,14,14,0,0,0,0,0,0,0,0.0,0,149,115,1374,11.95,18,1,1,18,0.0,0.0,243.0,358.4,362.4,300.9,117.0,1,4.0,2020,WR1
6,Tyreek Hill,KAN,WR,26,15,15,0,0,0,0,0,13,123,9.46,2,135,87,1276,14.67,15,1,0,17,0.0,0.0,242.0,328.9,334.9,285.4,116.0,2,6.0,2020,WR1
17,Stefon Diggs,BUF,WR,27,16,15,0,0,0,0,0,1,1,1.0,0,166,127,1535,12.09,8,0,0,8,0.0,0.0,202.0,328.6,331.6,265.1,76.0,3,17.0,2020,WR1
20,Calvin Ridley,ATL,WR,26,15,15,0,0,0,0,0,5,1,0.2,0,143,90,1374,15.27,9,1,1,9,1.0,0.0,192.0,281.5,285.5,236.5,66.0,4,20.0,2020,WR1
21,D.K. Metcalf,SEA,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,129,83,1303,15.7,10,1,1,10,0.0,0.0,188.0,271.3,275.3,229.8,62.0,5,21.0,2020,WR1
24,Justin Jefferson ,MIN,WR,21,16,14,0,0,0,0,0,1,2,2.0,0,125,88,1400,15.91,7,1,0,7,2.0,0.0,186.0,274.2,277.2,230.2,60.0,6,24.0,2020,WR1
26,Adam Thielen,MIN,WR,30,15,15,0,0,0,0,0,3,15,5.0,0,108,74,925,12.5,14,0,0,14,1.0,0.0,180.0,254.0,257.0,217.0,54.0,7,26.0,2020,WR1
27,Mike Evans,TAM,WR,27,16,16,0,0,0,0,0,0,0,0.0,0,109,70,1006,14.37,13,0,0,13,0.0,0.0,179.0,248.6,251.6,213.6,53.0,8,27.0,2020,WR1
28,A.J. Brown,TEN,WR,23,14,12,0,0,0,0,0,0,0,0.0,0,106,70,1075,15.36,11,2,1,12,0.0,0.0,178.0,247.5,251.5,212.5,52.0,9,28.0,2020,WR1
32,DeAndre Hopkins,ARI,WR,28,16,16,0,0,0,0,0,1,1,1.0,0,160,115,1407,12.23,6,3,2,6,0.0,0.0,173.0,287.8,292.8,230.3,47.0,10,32.0,2020,WR1
34,Tyler Lockett,SEA,WR,28,16,16,0,0,0,0,0,0,0,0.0,0,132,100,1054,10.54,10,1,0,10,0.0,0.0,165.0,265.4,268.4,215.4,39.0,11,34.0,2020,WR1
38,Allen Robinson,CHI,WR,27,16,16,0,0,0,0,0,1,-1,-1.0,0,151,102,1250,12.25,6,0,0,6,0.0,0.0,161.0,262.9,265.9,211.9,35.0,12,38.0,2020,WR1
40,Robert Woods,LAR,WR,28,16,16,0,0,0,0,0,24,155,6.46,2,129,90,936,10.4,6,2,1,8,0.0,0.0,155.0,245.1,252.1,200.1,29.0,13,40.0,2020,WR2
42,Chase Claypool,PIT,WR,22,16,6,0,0,0,0,0,10,16,1.6,2,109,62,873,14.08,9,3,1,11,0.0,0.0,153.0,214.9,218.9,183.9,27.0,14,42.0,2020,WR2
43,Marvin Jones,DET,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,115,76,978,12.87,9,0,0,9,0.0,0.0,152.0,227.8,230.8,189.8,26.0,15,43.0,2020,WR2
44,Brandin Cooks,HOU,WR,27,15,15,0,0,0,0,0,0,0,0.0,0,119,81,1150,14.2,6,0,0,6,0.0,0.0,151.0,232.0,235.0,191.5,25.0,16,44.0,2020,WR2
49,D.J. Moore,CAR,WR,23,15,14,0,1,0,0,0,2,22,11.0,0,118,66,1193,18.08,4,0,0,4,0.0,0.0,146.0,211.5,214.5,178.5,20.0,17,49.0,2020,WR2
50,Keenan Allen ,LAC,WR,28,14,13,0,1,0,0,0,1,-1,-1.0,0,147,100,992,9.92,8,3,2,8,1.0,0.0,145.0,245.1,250.1,195.1,19.0,18,50.0,2020,WR2
51,Amari Cooper,DAL,WR,26,16,15,0,0,0,0,0,6,14,2.33,0,130,92,1114,12.11,5,0,0,5,1.0,0.0,145.0,236.8,239.8,190.8,19.0,19,51.0,2020,WR2
53,CeeDee Lamb,DAL,WR,21,16,14,0,0,0,0,0,10,82,8.2,1,111,74,935,12.64,5,2,1,7,1.0,0.0,144.0,217.7,221.7,180.7,18.0,20,53.0,2020,WR2
61,Nelson Agholor,LVR,WR,27,16,13,0,0,0,0,0,0,0,0.0,0,82,48,896,18.67,8,0,0,8,0.0,0.0,138.0,185.6,188.6,161.6,12.0,21,61.0,2020,WR2
62,JuJu Smith-Schuster,PIT,WR,24,16,14,0,0,0,0,0,0,0,0.0,0,128,97,831,8.57,9,3,1,9,1.0,0.0,137.0,234.1,238.1,185.6,11.0,22,62.0,2020,WR2
63,Terry McLaurin,WAS,WR,25,15,15,0,0,0,0,0,2,30,15.0,0,134,87,1118,12.85,4,1,1,4,0.0,0.0,137.0,223.8,227.8,180.3,11.0,23,63.0,2020,WR2
64,Will Fuller,HOU,WR,26,11,11,0,0,0,0,0,1,0,0.0,0,75,53,879,16.58,8,0,0,8,0.0,0.0,136.0,188.9,191.9,162.4,10.0,24,64.0,2020,WR2
66,Curtis Samuel,CAR,WR,24,15,5,0,0,0,0,0,41,200,4.88,2,97,77,851,11.05,3,1,0,5,0.0,0.0,135.0,212.1,218.1,173.6,9.0,25,66.0,2020,WR3
69,Diontae Johnson,PIT,WR,24,15,13,0,0,0,0,0,3,15,5.0,0,144,88,923,10.49,7,2,1,7,0.0,0.0,134.0,221.8,225.8,177.8,8.0,26,69.0,2020,WR3
71,Robby Anderson,CAR,WR,27,16,16,0,0,0,0,0,4,15,3.75,0,136,95,1096,11.54,3,1,1,3,1.0,0.0,129.0,224.1,228.1,176.6,3.0,27,71.0,2020,WR3
73,Tee Higgins,CIN,WR,21,16,14,0,0,0,0,0,5,28,5.6,0,108,67,908,13.55,6,1,1,6,0.0,0.0,128.0,194.6,198.6,161.1,2.0,28,73.0,2020,WR3
74,Corey Davis,TEN,WR,25,14,12,0,0,0,0,0,0,0,0.0,0,92,65,984,15.14,5,1,1,5,0.0,0.0,126.0,191.4,195.4,158.9,0.0,29,74.0,2020,WR3
75,Chris Godwin,TAM,WR,24,12,12,0,0,0,0,0,0,0,0.0,0,84,65,840,12.92,7,1,0,7,0.0,0.0,126.0,191.0,194.0,158.5,0.0,30,75.0,2020,WR3
103,Cole Beasley,BUF,WR,31,15,10,1,1,20,1,0,0,0,0.0,0,107,82,967,11.79,4,0,0,4,0.0,0.0,126.0,207.5,210.5,166.5,0.0,31,0.0,2020,WR3
104,Brandon Aiyuk,SFO,WR,22,12,11,0,0,0,0,0,6,77,12.83,2,96,60,748,12.47,5,0,0,7,0.0,0.0,125.0,184.5,187.5,154.5,0.0,33,0.0,2020,WR3
105,Marquise Brown,BAL,WR,23,16,14,0,0,0,0,0,1,1,1.0,0,100,58,769,13.26,8,0,0,8,0.0,0.0,125.0,183.0,186.0,154.0,0.0,32,0.0,2020,WR3
108,Cooper Kupp,LAR,WR,27,15,12,0,0,0,0,0,4,33,8.25,0,124,92,974,10.59,3,1,1,3,0.0,0.0,117.0,208.7,212.7,162.7,0.0,34,0.0,2020,WR3
